Cruise Embark Date,Age Banding,Cruise Ship Name,SubTrade,Lifestage,Lead Time (Days),Mosaic Group,Mosaic Type,Net Weekly HH Income,Total Children,Faretype,Cabin Meta,Cruise Experience,Cruises Completed with HAL,Region,Contactability,Duration
23/07/2018,55 - 64 Years,Prinsendam,Greenland,Empty Nesters,50,Modest Traditions,Self Supporters,317.2,0,Saver,Outside,Past Guest,3,US West Coast,Mailable and Emailable,19
22/12/2017,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,550,Suburban Stability,Boomerang Boarders,317.3,0,Select Fare,Inside,Past Guest,1,US Central,Mailable Only,14
23/03/2018,75 - 84 Years,Eurodam,Western Mediterranean,Elderly Couples,45,Senior Security,Classic Grandparents,317.3,0,Early Saver,Inside,Past Guest,1,US Central,Mailable and Emailable,14
9/2/2018,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,424,Suburban Stability,Boomerang Boarders,317.3,0,Saver,Outside,Past Guest,4,US Central,Mailable Only,14
21/07/2018,85 - 94 Years,Eurodam,Western Mediterranean,Elderly Couples,305,Vintage Value,Seasoned Survivors,317.4,0,Select Fare,Inside,Past Guest,2,US West Coast Coast,Mailable and Emailable,14
19/01/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,55,Municipal Challenge,Low Income Workers,317.4,0,Select Fare,Balcony,Past Guest,9,US West Coast,Mailable Only,14
10/2/2018,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,222,Transient Renters,Renting a Room,317.4,0,Select Fare,Inside,Past Guest,2,South America,Mailable and Emailable,14
8/7/2018,55 - 64 Years,Koningsdam,Atlantic Islands,Empty Nesters,253,Modest Traditions,Down-to-Earth Owners,317.7,0,Select Fare,Inside,Newcomer,0,South America,Mailable Only,12
1/2/2018,55 - 64 Years,Koningsdam,Coastals,Empty Nesters,541,Modest Traditions,Down-to-Earth Owners,317.7,0,Select Fare,Inside,Past Guest,16,US Central,Emailable Only,4
11/11/2018,65 - 74 Years,Prinsendam,Panama Canal,Retired Couples,333,Vintage Value,Estate Veterans,317.7,0,Select Fare,Balcony,Past Guest,3,South America,Mailable Only,28
3/6/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,62,Vintage Value,Aided Elderly,318,0,Select Fare,Balcony,Past Guest,4,US West Coast,Mailable and Emailable,14
2/2/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,157,Modest Traditions,Down-to-Earth Owners,318.6,0,Select Fare,Inside,Past Guest,1,Europe,Mailable Only,14
9/4/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,15,Prestige Positions,Bank of Mum and Dad,318.6,0,Select Fare,Outside,Past Guest,1,US West Coast Coast,Emailable Only,12
7/6/2018,55 - 64 Years,Amsterdam,Australia/NZ,Empty Nesters,67,Modest Traditions,Self Supporters,318.8,0,Select Fare,Balcony,Newcomer,0,US West Coast,Mailable and Emailable,7
2/9/2018,45 - 54 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,215,Family Basics,Budget Generations,319.1,0,Select Fare,Inside,Past Guest,12,US West Coast,Mailable and Emailable,7
9/12/2017,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,305,Municipal Challenge,Low Income Workers,319.3,0,Select Fare,Inside,Past Guest,3,US West Coast,Mailable Only,12
4/5/2018,65 - 74 Years,Koningsdam,Alaska RT Seattle,Family,60,Suburban Stability,Fledgling Free,319.5,0,Select Fare,Mini Suite,Past Guest,3,US Central,Mailable and Emailable,7
17/02/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,175,Modest Traditions,Down-to-Earth Owners,319.5,0,Select Fare,Inside,Past Guest,6,US Central,Mailable Only,14
19/07/2018,55 - 64 Years,Amsterdam,Australia/NZ,Empty Nesters,75,Modest Traditions,Down-to-Earth Owners,319.5,0,Select Fare,Balcony,Past Guest,2,US Central,Mailable and Emailable,7
29/10/2018,45 - 54 Years,Koningsdam,Atlantic Islands,Empty Nesters,689,Municipal Challenge,Low Income Workers,319.5,0,Saver,Inside,Past Guest,2,US West Coast,Mailable Only,12
29/12/2017,25 - 34 Years,Eurodam,Caribbean Southern,Family,435,Transient Renters,Make Do & Move On,319.5,2,Select Fare,Outside,Past Guest,8,US Central,Mailable Only,14
13/04/2018,65 - 74 Years,Eurodam,Western Mediterranean,Retired Couples,205,Vintage Value,Seasoned Survivors,319.5,0,Select Fare,Inside,Past Guest,11,US West Coast,Mailable and Emailable,14
23/05/2018,65 - 74 Years,Prinsendam,Australia/NZ,Retired Couples,345,Modest Traditions,Down-to-Earth Owners,319.7,0,Early Saver,Balcony,Past Guest,4,US Central,Mailable Only,19
9/4/2018,85 - 94 Years,Koningsdam,Alaska RT Seattle,Elderly Couples,175,Senior Security,Solo Retirees,319.8,0,Select Fare,Outside,Newcomer,0,US Central,Mailable and Emailable,12
22/04/2018,75 - 84 Years,Nieuw Statendam,Norway Fjord,Elderly Couples,110,Urban Cohesion,Community Elders,320,0,Select Fare,Balcony,Past Guest,8,Europe,Mailable and Emailable,7
27/05/2018,65 - 74 Years,Koningsdam,Atlantic Islands,Retired Couples,319,Modest Traditions,Down-to-Earth Owners,320.5,0,Select Fare,Balcony,Past Guest,4,Europe,Mailable Only,12
28/09/2018,55 - 64 Years,Eurodam,Coastals,Empty Nesters,332,Prestige Positions,Alpha Families,320.6,0,Select Fare,Outside,Past Guest,6,US West Coast,Emailable Only,2
6/4/2018,45 - 54 Years,Eurodam,Alaska RT Seattle,Empty Nesters,184,Urban Cohesion,Cultural Comfort,320.7,0,Early Saver,Mini Suite,Past Guest,36,South America,Mailable and Emailable,7
8/6/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Family,272,Modest Traditions,Offspring Overspill,320.8,0,Select Fare,Inside,Past Guest,1,South America,Mailable and Emailable,7
8/6/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Family,272,Modest Traditions,Offspring Overspill,320.8,0,Select Fare,Balcony,Past Guest,4,South America,Mailable Only,7
30/12/2017,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,595,Urban Cohesion,Cultural Comfort,320.8,0,Select Fare,Inside,Past Guest,8,South America,Mailable and Emailable,7
4/1/2018,65 - 74 Years,Koningsdam,Panama Canal,Retired Couples,285,Municipal Challenge,Low Income Workers,320.8,0,Select Fare,Balcony,Past Guest,3,US West Coast,Mailable and Emailable,28
22/04/2018,55 - 64 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,354,Transient Renters,Renting a Room,320.8,0,Select Fare,Inside,Past Guest,24,US West Coast,Mailable Only,7
21/12/2017,75 - 84 Years,Koningsdam,Atlantic Islands,Elderly Couples,558,Municipal Challenge,High Rise Residents,320.9,0,Select Fare,Balcony,Newcomer,0,US Central,Mailable Only,14
8/4/2018,55 - 64 Years,Nieuw Statendam,Atlantic Islands,Empty Nesters,102,City Prosperity,Uptown Elite,320.9,0,Select Fare,Inside,Newcomer,0,US Central,Mailable Only,14
28/10/2018,75 - 84 Years,Amsterdam,Alaska RT Seattle,Elderly Couples,88,Rural Reality,Outlying Seniors,321.3,0,Select Fare,Balcony,Past Guest,20,US West Coast,Mailable and Emailable,12
4/5/2018,45 - 54 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,109,Family Basics,Budget Generations,321.3,0,Select Fare,Outside,Past Guest,3,US West Coast,Mailable Only,7
14/06/2018,85 - 94 Years,Zaandam,Australia/NZ,Elderly Couples,294,Vintage Value,Pocket Pensions,321.3,0,Saver,Mini Suite,Past Guest,14,US West Coast,Mailable Only,17
24/05/2018,65 - 74 Years,Amsterdam,Alaska RT YVR,Retired Couples,60,Rental Hubs,Learners & Earners,321.4,0,Select Fare,Balcony,Past Guest,7,US West Coast,Emailable Only,7
2/9/2018,35 - 44 Years,Koningsdam,Western Mediterranean,PreFamily,474,Rural Reality,Outlying Seniors,321.5,2,Early Saver,Inside,Past Guest,5,US West Coast Coast,Mailable Only,13
22/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,623,Municipal Challenge,Low Income Workers,321.6,0,Select Fare,Balcony,Newcomer,0,US West Coast,Mailable and Emailable,14
26/10/2018,65 - 74 Years,Nieuw Statendam,Caribbean Transatlantic,Retired Couples,210,Modest Traditions,Self Supporters,321.7,0,Select Fare,Inside,Past Guest,1,US Central,Mailable Only,15
13/01/2018,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,645,Urban Cohesion,Community Elders,321.8,0,Select Fare,Outside,Past Guest,3,Japan,Mailable and Emailable,14
15/09/2018,65 - 74 Years,Koningsdam,Coastals,Retired Couples,243,Vintage Value,Seasoned Survivors,321.9,0,Select Fare,Outside,Past Guest,3,Japan,Mailable and Emailable,3
6/5/2018,75 - 84 Years,Eurodam,Atlantic Islands,Elderly Couples,87,Modest Traditions,Down-to-Earth Owners,321.9,0,Select Fare,Outside,Newcomer,0,Japan,Mailable and Emailable,13
1/2/2018,55 - 64 Years,Koningsdam,Coastals,Empty Nesters,208,Municipal Challenge,Inner City Stalwarts,321.9,0,Select Fare,Balcony,Past Guest,5,US Central,Mailable Only,4
21/11/2018,55 - 64 Years,Amsterdam,Alaska RT Seattle,Empty Nesters,19,Municipal Challenge,Streetwise Singles,321.9,0,Select Fare,Inside,Past Guest,2,US West Coast,Mailable and Emailable,10
5/10/2018,35 - 44 Years,Koningsdam,Coastals,Family,170,Family Basics,Childcare Squeeze,321.9,0,Saver,Balcony,Newcomer,0,US West Coast,Mailable Only,3
23/03/2018,45 - 54 Years,Amsterdam,Coastals,Empty Nesters,326,Transient Renters,Make Do & Move On,322,0,Select Fare,Inside,Past Guest,11,US Central,Mailable Only,3
23/12/2017,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,473,Modest Traditions,Down-to-Earth Owners,322,0,Saver,Inside,Past Guest,4,US Central,Mailable Only,14
29/07/2018,55 - 64 Years,Koningsdam,Norway Fjord,Empty Nesters,316,Vintage Value,Dependent Greys,322,0,Select Fare,Balcony,Newcomer,0,US Central,Emailable Only,7
2/8/2018,45 - 54 Years,Amsterdam,Australia/NZ,Empty Nesters,356,Suburban Stability,Family Ties,322,0,Select Fare,Outside,Past Guest,6,US West Coast Coast,Mailable Only,14
17/06/2018,55 - 64 Years,Koningsdam,Western Mediterranean,Empty Nesters,634,Modest Traditions,Down-to-Earth Owners,322,0,Select Fare,Balcony,Past Guest,3,US Central,Mailable Only,14
4/6/2018,65 - 74 Years,Westerdam,Norway Fjord,Retired Couples,353,Modest Traditions,Self Supporters,322,0,Saver,Balcony,Past Guest,6,US Central,Emailable Only,12
9/6/2018,55 - 64 Years,Eurodam,Baltic,Empty Nesters,519,Modest Traditions,Self Supporters,322.1,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Mailable and Emailable,14
8/10/2018,65 - 74 Years,Koningsdam,Alaska RT Seattle,Retired Couples,159,Senior Security,Classic Grandparents,322.2,0,Select Fare,Balcony,Past Guest,7,US Central,Emailable Only,12
25/06/2018,65 - 74 Years,Prinsendam,Australia/NZ,Retired Couples,436,Municipal Challenge,High Rise Residents,322.4,0,Select Fare,Balcony,Past Guest,1,US Central,Mailable Only,18
26/01/2018,75 - 84 Years,Eurodam,Caribbean Southern,Elderly Couples,375,Suburban Stability,Fledgling Free,323.2,0,Select Fare,Inside,Past Guest,2,Europe,Mailable Only,14
11/3/2018,75 - 84 Years,Amsterdam,Alaska RT Seattle,Elderly Couples,258,Prestige Positions,Empty-Nest Adventure,323.2,0,Select Fare,Balcony,Past Guest,6,Europe,Emailable Only,12
20/10/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,389,Modest Traditions,Offspring Overspill,323.4,0,Select Fare,Balcony,Past Guest,10,Europe,Emailable Only,7
30/06/2018,55 - 64 Years,Westerdam,Coastals,Empty Nesters,276,Senior Security,Solo Retirees,323.4,0,Early Saver,Suite,Past Guest,23,Europe,Emailable Only,4
2/4/2018,65 - 74 Years,Prinsendam,Atlantic Islands,Retired Couples,137,Modest Traditions,Self Supporters,323.5,0,Select Fare,Inside,Newcomer,0,Europe,Mailable Only,18
30/09/2018,65 - 74 Years,Nieuw Statendam,Atlantic Islands,Retired Couples,61,Transient Renters,Renting a Room,323.5,0,Early Saver,Balcony,Past Guest,3,US Central,Mailable Only,12
2/9/2018,55 - 64 Years,Koningsdam,Western Mediterranean,Empty Nesters,342,Suburban Stability,Dependable Me,323.5,0,Select Fare,Deluxe Balcony,Past Guest,4,US Central,Mailable Only,13
29/04/2018,45 - 54 Years,Nieuw Statendam,Western Mediterranean,Empty Nesters,40,Rental Hubs,Bus-Route Renters,323.5,0,Select Fare,Unclassified,Past Guest,1,US Central,Emailable Only,12
23/03/2018,35 - 44 Years,Amsterdam,Coastals,PreFamily,1,Vintage Value,Estate Veterans,323.6,0,Select Fare,Balcony,Past Guest,5,US Central,Mailable and Emailable,3
16/05/2018,55 - 64 Years,Westerdam,Coastals,Empty Nesters,353,Transient Renters,Make Do & Move On,323.8,0,Select Fare,Balcony,Newcomer,0,US Central,Mailable Only,3
4/1/2018,55 - 64 Years,Koningsdam,Panama Canal,Empty Nesters,362,Family Basics,Families with Needs,323.9,0,Select Fare,Inside,Past Guest,1,US Central,Mailable Only,28
8/7/2018,45 - 54 Years,Koningsdam,Atlantic Islands,Empty Nesters,314,Suburban Stability,Boomerang Boarders,324.1,0,Select Fare,Balcony,Past Guest,5,US West Coast,Mailable and Emailable,12
27/09/2018,75 - 84 Years,Amsterdam,Australia/NZ,Elderly Couples,127,Senior Security,Classic Grandparents,324.2,0,Early Saver,Inside,Past Guest,3,US Central,Mailable and Emailable,14
9/9/2018,55 - 64 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,125,Modest Traditions,Self Supporters,324.2,0,Saver,Mini Suite,Past Guest,7,US Central,Mailable Only,7
27/04/2018,35 - 44 Years,Eurodam,Coastals,PreFamily,286,Family Basics,Childcare Squeeze,324.2,0,Select Fare,Outside,Newcomer,0,Europe,Mailable Only,2
10/5/2018,55 - 64 Years,Amsterdam,Japan,Empty Nesters,101,Vintage Value,Seasoned Survivors,324.3,0,Select Fare,Deluxe Balcony,Past Guest,15,South America,Mailable Only,7
20/04/2018,65 - 74 Years,Prinsendam,Western Mediterranean,Retired Couples,227,Vintage Value,Estate Veterans,324.3,0,Select Fare,Deluxe Balcony,Past Guest,3,Australia,Mailable Only,18
21/12/2017,75 - 84 Years,Prinsendam,Atlantic Islands,Elderly Couples,57,Modest Traditions,Down-to-Earth Owners,324.4,0,Select Fare,Balcony,Past Guest,4,US West Coast Coast,Mailable Only,16
12/11/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,252,Modest Traditions,Offspring Overspill,324.4,0,Select Fare,Outside,Past Guest,5,Australia,Emailable Only,11
28/06/2018,55 - 64 Years,Amsterdam,Japan,Empty Nesters,392,Modest Traditions,Offspring Overspill,324.4,0,Select Fare,Inside,Past Guest,1,Australia,Mailable and Emailable,14
4/7/2018,65 - 74 Years,Westerdam,Western Mediterranean,Retired Couples,39,Modest Traditions,Down-to-Earth Owners,324.4,0,Early Saver,Outside,Newcomer,0,Australia,Emailable Only,17
28/09/2018,55 - 64 Years,Eurodam,Coastals,Empty Nesters,22,Modest Traditions,Offspring Overspill,324.4,0,Saver,Inside,Past Guest,6,US West Coast,Mailable and Emailable,2
17/12/2017,55 - 64 Years,Amsterdam,Atlantic Islands,Empty Nesters,184,Modest Traditions,Down-to-Earth Owners,324.6,0,Select Fare,Outside,Past Guest,6,US West Coast,Mailable and Emailable,12
20/09/2018,75 - 84 Years,Amsterdam,Japan,Elderly Couples,119,Vintage Value,Seasoned Survivors,324.6,0,Early Saver,Balcony,Past Guest,2,US West Coast,Emailable Only,7
30/03/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,28,Rural Reality,Outlying Seniors,324.8,0,Saver,Inside,Past Guest,6,US West Coast,Mailable Only,7
12/11/2018,65 - 74 Years,Koningsdam,Alaska RT Seattle,Retired Couples,178,Rural Reality,Outlying Seniors,324.8,0,Select Fare,Balcony,Past Guest,2,US West Coast,Mailable Only,11
18/09/2018,45 - 54 Years,Koningsdam,Australia/NZ,Empty Nesters,346,Family Basics,Budget Generations,324.8,0,Select Fare,Balcony,Past Guest,2,US West Coast,Mailable Only,17
18/09/2018,75 - 84 Years,Koningsdam,Australia/NZ,Elderly Couples,346,Modest Traditions,Down-to-Earth Owners,324.8,0,Select Fare,Inside,Past Guest,5,US West Coast,Emailable Only,17
3/1/2018,75 - 84 Years,Amsterdam,Panama Canal,Elderly Couples,196,Rural Reality,Satellite Settlers,324.9,0,Select Fare,Inside,Past Guest,13,US Central,Mailable and Emailable,35
20/07/2018,75 - 84 Years,Koningsdam,Alaska RT Seattle,Elderly Couples,149,Rural Reality,Outlying Seniors,324.9,0,Early Saver,Balcony,Past Guest,5,US Central,Emailable Only,7
16/06/2018,75 - 84 Years,Westerdam,TransPacific,Elderly Couples,344,Country Living,Village Retirement,324.9,0,Select Fare,Balcony,Past Guest,27,US Central,Mailable and Emailable,14
21/11/2018,65 - 74 Years,Amsterdam,Alaska RT Seattle,Retired Couples,70,Modest Traditions,Offspring Overspill,324.9,0,Select Fare,Balcony,Past Guest,1,US Central,Emailable Only,10
15/09/2018,65 - 74 Years,Eurodam,Atlantic Islands,Retired Couples,306,Modest Traditions,Down-to-Earth Owners,325,0,Select Fare,Balcony,Past Guest,1,US Central,Mailable and Emailable,13
20/01/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,78,Modest Traditions,Down-to-Earth Owners,325.4,0,Saver,Inside,Past Guest,4,Australia,Mailable and Emailable,14
16/09/2018,65 - 74 Years,Westerdam,Canada / New England,Retired Couples,382,Urban Cohesion,Ageing Access,325.5,0,Select Fare,Mini Suite,Past Guest,16,US West Coast Coast,Emailable Only,24
30/03/2018,55 - 64 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,557,Modest Traditions,Offspring Overspill,326,0,Saver,Mini Suite,Past Guest,20,US West Coast Coast,Emailable Only,7
30/03/2018,55 - 64 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,557,Modest Traditions,Offspring Overspill,326,0,Saver,Mini Suite,Past Guest,20,US West Coast Coast,Emailable Only,7
20/07/2018,65 - 74 Years,Koningsdam,Alaska RT Seattle,Retired Couples,57,Modest Traditions,Down-to-Earth Owners,326,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Mailable and Emailable,7
23/08/2018,45 - 54 Years,Amsterdam,Japan,Empty Nesters,188,Family Basics,Budget Generations,326,0,Select Fare,Balcony,Past Guest,2,US West Coast Coast,Emailable Only,7
17/02/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,13,Modest Traditions,Down-to-Earth Owners,326,0,Early Saver,Balcony,Past Guest,3,US West Coast,Emailable Only,14
23/02/2018,45 - 54 Years,Prinsendam,Coastals,Empty Nesters,85,Suburban Stability,Fledgling Free,326.4,0,Select Fare,Inside,Past Guest,5,US Central,Mailable Only,2
11/5/2018,75 - 84 Years,Zaandam,Australia/NZ,Elderly Couples,262,Vintage Value,Seasoned Survivors,326.4,0,Select Fare,Balcony,Past Guest,6,US Central,Emailable Only,17
26/01/2018,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,85,Suburban Stability,Fledgling Free,326.4,0,Select Fare,Balcony,Past Guest,7,US Central,Mailable Only,14
29/10/2018,45 - 54 Years,Koningsdam,Atlantic Islands,Empty Nesters,177,Family Basics,Budget Generations,326.5,0,Select Fare,Outside,Past Guest,6,Australia,Mailable and Emailable,12
25/08/2018,65 - 74 Years,Eurodam,Norway Fjord,Retired Couples,45,Rural Reality,Outlying Seniors,326.5,0,Select Fare,Inside,Past Guest,1,Australia,Mailable Only,7
9/3/2018,45 - 54 Years,Eurodam,Caribbean Transatlantic,Empty Nesters,135,Modest Traditions,Down-to-Earth Owners,326.7,0,Early Saver,Balcony,Past Guest,1,US West Coast Coast,Mailable and Emailable,14
27/04/2018,45 - 54 Years,Eurodam,Coastals,Empty Nesters,36,Modest Traditions,Down-to-Earth Owners,326.7,0,Saver,Inside,Past Guest,2,Australia,Emailable Only,2
26/10/2018,55 - 64 Years,Nieuw Statendam,Caribbean Transatlantic,Empty Nesters,223,Modest Traditions,Offspring Overspill,326.7,0,Early Saver,Inside,Past Guest,5,US Central,Emailable Only,14
10/3/2018,65 - 74 Years,Eurodam,Caribbean Transatlantic,Retired Couples,118,Aspiring Homemakers,Affordable Fringe,326.7,0,Select Fare,Inside,Past Guest,7,US Central,Emailable Only,13
29/12/2017,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,116,Vintage Value,Estate Veterans,326.9,0,Select Fare,Balcony,Past Guest,1,US Central,Emailable Only,14
16/11/2018,45 - 54 Years,Eurodam,Caribbean Eastern,Family,214,Family Basics,Childcare Squeeze,326.9,0,Select Fare,Outside,Past Guest,9,US Central,Emailable Only,14
16/12/2017,75 - 84 Years,Zaandam,Panama Canal,Elderly Couples,124,Modest Traditions,Down-to-Earth Owners,326.9,0,Select Fare,Balcony,Past Guest,6,US West Coast Coast,Mailable Only,24
19/04/2018,55 - 64 Years,Amsterdam,Japan,Empty Nesters,321,Modest Traditions,Self Supporters,327.1,0,Select Fare,Inside,Past Guest,4,South America,Mailable and Emailable,7
12/11/2018,35 - 44 Years,Koningsdam,Alaska RT Seattle,Family,264,Transient Renters,Midlife Stopgap,327.1,1,Select Fare,Outside,Past Guest,17,US Central,Emailable Only,11
9/11/2018,55 - 64 Years,Nieuw Statendam,Caribbean Eastern,Empty Nesters,90,Domestic Success,Modern Parents,327.1,0,Select Fare,Balcony,Past Guest,4,US West Coast,Mailable Only,14
22/04/2018,65 - 74 Years,Nieuw Statendam,Norway Fjord,Retired Couples,58,Vintage Value,Pocket Pensions,327.1,0,Select Fare,Inside,Past Guest,2,US Central,Emailable Only,7
19/10/2018,35 - 44 Years,Eurodam,Caribbean Transatlantic,PreFamily,535,Family Basics,Solid Economy,327.1,0,Select Fare,Balcony,Past Guest,2,US West Coast,Emailable Only,15
8/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Eastern,Retired Couples,310,Suburban Stability,Dependable Me,327.2,0,Select Fare,Balcony,Past Guest,3,US West Coast,Emailable Only,14
15/07/2018,55 - 64 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,232,Suburban Stability,Boomerang Boarders,327.2,0,Early Saver,Balcony,Past Guest,4,US West Coast,Emailable Only,7
29/10/2018,45 - 54 Years,Koningsdam,Atlantic Islands,Empty Nesters,758,Family Basics,Childcare Squeeze,327.3,0,Select Fare,Inside,Past Guest,1,Europe,Mailable Only,12
3/6/2018,35 - 44 Years,Nieuw Statendam,Western Mediterranean,Family,330,Domestic Success,Mid-Career Convention,327.6,2,Select Fare,Deluxe Balcony,Past Guest,12,Europe,Emailable Only,14
5/4/2018,45 - 54 Years,Amsterdam,Australia/NZ,Empty Nesters,462,Modest Traditions,Offspring Overspill,327.6,0,Saver,Balcony,Past Guest,1,US Central,Emailable Only,7
5/10/2018,45 - 54 Years,Koningsdam,Coastals,Empty Nesters,210,Aspiring Homemakers,Affordable Fringe,327.6,0,Select Fare,Balcony,Past Guest,1,Europe,Mailable and Emailable,3
9/8/2018,65 - 74 Years,Amsterdam,Japan,Retired Couples,269,Vintage Value,Seasoned Survivors,327.6,0,Early Saver,Inside,Past Guest,1,Japan,Mailable Only,7
3/1/2018,75 - 84 Years,Amsterdam,Panama Canal,Elderly Couples,330,Modest Traditions,Down-to-Earth Owners,327.7,0,Saver,Balcony,Past Guest,6,Japan,Emailable Only,35
26/10/2018,55 - 64 Years,Nieuw Statendam,Caribbean Transatlantic,Empty Nesters,104,Aspiring Homemakers,First-Rung Futures,327.7,0,Select Fare,Outside,Past Guest,2,Europe,Emailable Only,15
25/02/2018,55 - 64 Years,Prinsendam,North Cape,Empty Nesters,677,Suburban Stability,Fledgling Free,328.3,0,Select Fare,Deluxe Balcony,Past Guest,2,US West Coast Coast,Mailable Only,12
11/11/2018,55 - 64 Years,Prinsendam,Panama Canal,Empty Nesters,237,Modest Traditions,Down-to-Earth Owners,329.3,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Mailable and Emailable,28
11/11/2018,65 - 74 Years,Prinsendam,Panama Canal,Retired Couples,237,Modest Traditions,Down-to-Earth Owners,329.3,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Mailable Only,28
8/7/2018,65 - 74 Years,Koningsdam,Atlantic Islands,Retired Couples,280,Modest Traditions,Offspring Overspill,329.3,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Mailable and Emailable,12
5/8/2018,55 - 64 Years,Zaandam,Norway Fjord,Empty Nesters,699,Modest Traditions,Down-to-Earth Owners,329.3,0,Select Fare,Inside,Past Guest,6,US West Coast Coast,Mailable Only,12
20/10/2018,45 - 54 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,229,Municipal Challenge,Low Income Workers,329.3,0,Select Fare,Balcony,Newcomer,0,US West Coast Coast,Emailable Only,7
7/6/2018,75 - 84 Years,Amsterdam,Australia/NZ,Elderly Couples,152,Rural Reality,Outlying Seniors,329.4,0,Select Fare,Balcony,Past Guest,8,US Central,Mailable and Emailable,14
11/8/2018,65 - 74 Years,Eurodam,Western Mediterranean,Family,397,Modest Traditions,Down-to-Earth Owners,329.6,1,Select Fare,Outside,Past Guest,8,US Central,Mailable Only,14
15/12/2017,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,346,Modest Traditions,Down-to-Earth Owners,330.1,0,Select Fare,Suite,Past Guest,1,US Central,Mailable and Emailable,14
19/05/2018,65 - 74 Years,Eurodam,Norway Fjord,Retired Couples,144,Senior Security,Bungalow Haven,330.2,0,Select Fare,Balcony,Past Guest,6,US Central,Emailable Only,7
28/10/2018,65 - 74 Years,Westerdam,Australia/NZ,Retired Couples,379,Suburban Stability,Fledgling Free,330.2,0,Select Fare,Inside,Past Guest,4,Australia,Mailable Only,17
1/9/2018,75 - 84 Years,Prinsendam,Atlantic Islands,Elderly Couples,195,Senior Security,Bungalow Haven,330.4,0,Select Fare,Outside,Past Guest,7,US Central,Mailable and Emailable,16
25/02/2018,55 - 64 Years,Prinsendam,North Cape,Empty Nesters,297,Transient Renters,Midlife Stopgap,330.4,0,Select Fare,Balcony,Newcomer,0,US West Coast Coast,Mailable and Emailable,12
2/6/2018,65 - 74 Years,Eurodam,Norway Fjord,Retired Couples,250,Modest Traditions,Self Supporters,330.4,0,Select Fare,Inside,Past Guest,4,US West Coast Coast,Emailable Only,7
3/10/2018,75 - 84 Years,Zaandam,Western Mediterranean,Elderly Couples,551,Family Basics,Childcare Squeeze,330.4,0,Saver,Inside,Past Guest,5,US West Coast,Mailable Only,17
5/8/2018,55 - 64 Years,Koningsdam,Atlantic Islands,Empty Nesters,282,Domestic Success,Thriving Independence,330.5,0,Select Fare,Inside,Past Guest,14,US West Coast,Emailable Only,12
17/12/2017,75 - 84 Years,Amsterdam,Atlantic Islands,Elderly Couples,68,Senior Security,Classic Grandparents,330.5,0,Select Fare,Balcony,Past Guest,2,US Central,Mailable and Emailable,12
8/7/2018,75 - 84 Years,Koningsdam,Atlantic Islands,Elderly Couples,130,Family Basics,Families with Needs,331,0,Saver,Inside,Past Guest,2,South America,Mailable and Emailable,12
9/6/2018,65 - 74 Years,Eurodam,Baltic,Retired Couples,138,Senior Security,Classic Grandparents,331,0,Select Fare,Balcony,Past Guest,1,US West Coast,Mailable and Emailable,14
